
変数情報		
変数	位置	ラベル
s2rshe09	341	w1-問１５付問１．健在の２番目のきょうだい（ク）この１年間に、この方に看病や家事・育児などの手伝いをしてもらうことはありましたか
s2psmo09	342	w1-問１５付問１．健在の２番目のきょうだい（ケ）この１年間に、この方に金銭的な援助をしましたか
s2psad09	343	w1-問１５付問１．健在の２番目のきょうだい（コ）この１年間に、この方の相談相手になることはありましたか
s2pshe09	344	w1-問１５付問１．健在の２番目のきょうだい（サ）この１年間に、この方の看病や家事・育児などの手伝いをしましたか
s2mf	345	w1-問１５付問１．健在の２番目のきょうだい（シ）この方は、今現在「あなたの家族の一員」だと思いますか
s2mfss	346	w1-問１５付問１．健在の２番目のきょうだい（ス）この方の配偶者は、今現在「あなたの家族の一員」だと思いますか
s3sex09	347	w1-問１５付問１．健在の３番目のきょうだい（ア）性別
s3btgg09	348	w1-問１５付問１．健在の３番目のきょうだい（イ）出生年（元号）
s3btyr09	349	w1-問１５付問１．健在の３番目のきょうだい（イ）出生年（年）
s3btag09	350	w1-問１５付問１．健在の３番目のきょうだい（イ）出生年（年齢）
s3plc09	351	w1-問１５付問１．健在の３番目のきょうだい（ウ）居住場所
s3edc	352	w1-問１５付問１．健在の３番目のきょうだい（エ）学歴
s3cvy09	353	w1-問１５付問１．健在の３番目のきょうだい（オ）この１年間に、この方と「話らしい話」をどのくらいしましたか
s3rsmo09	354	w1-問１５付問１．健在の３番目のきょうだい（カ）この１年間に、この方から金銭的な援助を受けましたか
s3rsad09	355	w1-問１５付問１．健在の３番目のきょうだい（キ）この１年間に、この方に相談にのってもらうことはありましたか
s3rshe09	356	w1-問１５付問１．健在の３番目のきょうだい（ク）この１年間に、この方に看病や家事・育児などの手伝いをしてもらうことはありましたか
s3psmo09	357	w1-問１５付問１．健在の３番目のきょうだい（ケ）この１年間に、この方に金銭的な援助をしましたか
s3psad09	358	w1-問１５付問１．健在の３番目のきょうだい（コ）この１年間に、この方の相談相手になることはありましたか
s3pshe09	359	w1-問１５付問１．健在の３番目のきょうだい（サ）この１年間に、この方の看病や家事・育児などの手伝いをしましたか
s3mf	360	w1-問１５付問１．健在の３番目のきょうだい（シ）この方は、今現在「あなたの家族の一員」だと思いますか
s3mfss	361	w1-問１５付問１．健在の３番目のきょうだい（ス）この方の配偶者は、今現在「あなたの家族の一員」だと思いますか
flbtgg	362	w1-問１６．義父若年壮年（ア）出生年（元号）
flbtyr	363	w1-問１６．義父若年壮年（ア）出生年（年）
flbtag09	364	w1-問１６．義父若年壮年（ア）出生年（年齢）
flsl09	365	w1-問１６．義父若年壮年（イ）健在・死亡の別
mlbtgg	366	w1-問１６．義母若年壮年（ア）出生年（元号）
mlbtyr	367	w1-問１６．義母若年壮年（ア）出生年（年）
mlbtag09	368	w1-問１６．義母若年壮年（ア）出生年（年齢）
mlsl09	369	w1-問１６．義母若年壮年（イ）健在・死亡の別
flhvjb09	370	w1-問１６付問１．義父若年壮年（ア）就業状況
flplc09	371	w1-問１６付問１．義父若年壮年（イ）居住場所
flcvy09	372	w1-問１６付問１．義父若年壮年（ウ）この１年間に、この方と「話らしい話」をどのくらいしましたか
flrsmo09	373	w1-問１６付問１．義父若年壮年（エ）この１年間に、この方から金銭的な援助を受けましたか
flrsad09	374	w1-問１６付問１．義父若年壮年（オ）この１年間に、この方に相談にのってもらうことはありましたか
flrshe09	375	w1-問１６付問１．義父若年壮年（カ）この１年間に、この方に看病や家事・育児などの手伝いをしてもらうことはありましたか
flpsmo09	376	w1-問１６付問１．義父若年壮年（キ）この１年間に、この方に金銭的な援助をしましたか
flpsad09	377	w1-問１６付問１．義父若年壮年（ク）この１年間に、この方の相談相手になることはありましたか
flpshe09	378	w1-問１６付問１．義父若年壮年（ケ）この１年間に、この方の看病や家事などの手伝いをしたことはありましたか
flfmt	379	w1-問１６付問１．義父若年壮年（コ）この１年間に、この方とどの程度会いましたか
flrlt	380	w1-問１６付問１．義父若年壮年（サ）この方との関係は、いかがですか
flmf	381	w1-問１６付問１．義父若年壮年（シ）この方は、今現在「あなたの家族の一員」だと思いますか
mlhvjb09	382	w1-問１６付問１．義母若年壮年（ア）就業状況
mlplc09	383	w1-問１６付問１．義母若年壮年（イ）居住場所
mlcvy09	384	w1-問１６付問１．義母若年壮年（ウ）この１年間に、この方と「話らしい話」をどのくらいしましたか
mlrsmo09	385	w1-問１６付問１．義母若年壮年（エ）この１年間に、この方から金銭的な援助を受けましたか
mlrsad09	386	w1-問１６付問１．義母若年壮年（オ）この１年間に、この方に相談にのってもらうことはありましたか
mlrshe09	387	w1-問１６付問１．義母若年壮年（カ）この１年間に、この方に看病や家事・育児などの手伝いをしてもらうことはありましたか
mlpsmo09	388	w1-問１６付問１．義母若年壮年（キ）この１年間に、この方に金銭的な援助をしましたか
mlpsad09	389	w1-問１６付問１．義母若年壮年（ク）この１年間に、この方の相談相手になることはありましたか
mlpshe09	390	w1-問１６付問１．義母若年壮年（ケ）この１年間に、この方の看病や家事などの手伝いをしたことはありましたか
mlfmt	391	w1-問１６付問１．義母若年壮年（コ）この１年間に、この方とどの程度会いましたか
mlrlt	392	w1-問１６付問１．義母若年壮年（サ）この方との関係は、いかがですか
mlmf	393	w1-問１６付問１．義父若年壮年（シ）この方は、今現在「あなたの家族の一員」だと思いますか
rpcasp09	394	w1-問１７．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（配偶者）
rpcapa09	395	w1-問１７．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（自分の親）
rpcasb09	396	w1-問１７．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（自分の兄弟姉妹）
rpcach09	397	w1-問１７．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（自分の子ども）
rpcapl09	398	w1-問１７．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（配偶者の親）
rpcasl09	399	w1-問１７．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（配偶者の兄弟姉妹）
rpcacs09	400	w1-問１７．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（子どもの配偶者）
rpcaor09	401	w1-問１７．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（その他の親族）
rpcafc09	402	w1-問１７．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（友人や職場の同僚）
rpcanb09	403	w1-問１７．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（近所の人）
rpcast09	404	w1-問１７．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（専門家やサービス機関）
rpcant09	405	w1-問１７．頼りにする人や機関（ア）問題を抱えて、落ち込んだり、混乱したとき（誰もいない）
rpcmsp09	406	w1-問１７．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（配偶者）
rpcmpa09	407	w1-問１７．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（自分の親）
rpcmsb09	408	w1-問１７．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（自分の兄弟姉妹）
rpcmch09	409	w1-問１７．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（自分の子ども）
rpcmpl09	410	w1-問１７．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（配偶者の親）
rpcmsl09	411	w1-問１７．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（配偶者の兄弟姉妹）
rpcmcs09	412	w1-問１７．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（子どもの配偶者）
rpcmor09	413	w1-問１７．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（その他の親族）
rpcmfc09	414	w1-問１７．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（友人や職場の同僚）
rpcmnb09	415	w1-問１７．頼りにする人や機関（イ）急いでお金（３０万円程度）を借りなければならないとき（近所の人）
